ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
2920	CXCL2	3.898019628	2.86e-18
6772	STAT1	4.714699599	4.32e-17
55008	HERC6	3.975987626	1.36e-16
994	CDC25B	2.625941958	1.5e-15
22809	ATF5	2.359160971	1.33e-14
8837	CFLAR	3.179608012	8.51e-14
5366	PMAIP1	3.213098816	1.16e-13
4792	NFKBIA	2.211296042	2.24e-13
7538	ZFP36	2.240452886	2.75e-13
23338	JADE2	2.256815716	3.1e-13
148022	TICAM1	2.156684507	5e-13
5971	RELB	1.871757067	8.2e-13
4609	MYC	1.848975583	1.04e-12
9517	SPTLC2	1.579542026	3.81e-12
25932	CLIC4	1.830887912	5.23e-12
2353	FOS	3.093980239	6.02e-12
9641	IKBKE	2.651992406	7.51e-12
51056	LAP3	2.939137564	1.2e-11
4088	SMAD3	1.745552442	1.21e-11
2065	ERBB3	3.934796929	1.63e-11
10589	DRAP1	1.533872137	2.5e-11
3566	IL4R	1.465732504	3.61e-11
843	CASP10	1.851153679	4.71e-11
5997	RGS2	2.228958379	5.56e-11
8061	FOSL1	3.303589971	7.81e-11
5696	PSMB8	1.705762541	8.66e-11
7082	TJP1	1.211867951	9.22e-11
9221	NOLC1	1.304307026	1.12e-10
4791	NFKB2	2.111537496	1.15e-10
8349	HIST2H2BE	2.712073453	1.25e-10
4794	NFKBIE	1.219535093	1.28e-10
58472	SQRDL	1.70283561	1.68e-10
2745	GLRX	1.540612963	1.76e-10
5743	PTGS2	4.494476034	1.83e-10
8835	SOCS2	3.204053993	2.6e-10
10221	TRIB1	2.422884109	3.02e-10
3383	ICAM1	4.004823676	3.47e-10
51599	LSR	1.429224007	3.5e-10
9246	UBE2L6	2.644145297	4.26e-10
2131	EXT1	2.024796711	9.55e-10
54957	TXNL4B	1.257049799	1.04e-9
7020	TFAP2A	1.305858942	1.29e-9
10318	TNIP1	1.969908733	1.41e-9
5721	PSME2	1.145588594	1.44e-9
1958	EGR1	1.972254518	1.6e-9
2553	GABPB1	1.248247782	1.91e-9
23076	RRP1B	1.533904708	2.37e-9
9712	USP6NL	0.987612157	2.74e-9
11014	KDELR2	1.060875056	2.9e-9
3486	IGFBP3	1.253916122	3.61e-9
8569	MKNK1	1.104279817	4.21e-9
4690	NCK1	1.114475459	5.56e-9
154	ADRB2	2.329617608	6.61e-9
11011	TLK2	0.94269925	1.01e-8
3725	JUN	1.56598428	1.34e-8
11007	CCDC85B	1.17650918	1.42e-8
8900	CCNA1	4.489108022	1.68e-8
6810	STX4	0.944112222	1.75e-8
1001	CDH3	1.274091459	2.04e-8
8870	IER3	1.787082372	2.36e-8
1845	DUSP3	0.844776277	2.43e-8
375346	TMEM110	1.386209201	2.72e-8
5641	LGMN	1.719501385	3.97e-8
5359	PLSCR1	2.352894196	5.01e-8
4891	SLC11A2	1.207656038	6.1e-8
11182	SLC2A6	2.554944762	6.37e-8
30001	ERO1A	1.441937354	7.46e-8
1052	CEBPD	1.020983822	7.95e-8
355	FAS	1.617121155	8.64e-8
4836	NMT1	0.860523391	9.56e-8
8553	BHLHE40	1.181191571	1.23e-7
1454	CSNK1E	0.927357189	1.4e-7
4793	NFKBIB	1.261711757	1.57e-7
79094	CHAC1	1.311828116	1.79e-7
5699	PSMB10	1.188255541	1.83e-7
1788	DNMT3A	1.136624022	1.85e-7
2017	CTTN	0.945457091	1.92e-7
23597	ACOT9	0.995631941	2.07e-7
958	CD40	1.444180106	2.15e-7
85236	HIST1H2BK	1.40680593	2.23e-7
11044	PAPD7	1.074487729	2.44e-7
9448	MAP4K4	1.29561219	2.68e-7
10270	AKAP8	0.806411319	2.77e-7
4616	GADD45B	1.396085492	2.89e-7
83743	GRWD1	0.986115616	3.71e-7
993	CDC25A	2.809561552	3.79e-7
1861	TOR1A	1.160502352	4.01e-7
23011	RAB21	0.723474589	4.63e-7
1906	EDN1	3.195234947	4.87e-7
2887	GRB10	1.57269644	6.49e-7
55033	FKBP14	0.948452298	7.85e-7
9943	OXSR1	0.625088394	8.33e-7
10892	MALT1	1.084856615	8.49e-7
595	CCND1	1.792736615	8.9e-7
9181	ARHGEF2	0.965721774	9.4e-7
9637	FEZ2	0.961429096	1.07e-6
9695	EDEM1	0.832681489	1.18e-6
51001	MTERF3	0.567679498	1.39e-6
6714	SRC	0.864465159	1.47e-6
6774	STAT3	1.273366474	1.69e-6
23585	TMEM50A	0.895278069	2.78e-6
6777	STAT5B	0.812719432	3.05e-6
79947	DHDDS	0.732591521	3.6e-6
9491	PSMF1	0.98866877	3.61e-6
4312	MMP1	2.730082279	3.83e-6
874	CBR3	0.78503047	4.11e-6
5782	PTPN12	0.691586891	4.96e-6
3553	IL1B	3.007685598	5.23e-6
54915	YTHDF1	0.720534713	5.94e-6
3508	IGHMBP2	0.955376635	6.38e-6
10915	TCERG1	0.687361595	6.64e-6
2810	SFN	1.395754608	6.78e-6
3909	LAMA3	1.703129059	7.04e-6
3988	LIPA	1.07777911	7.24e-6
